Dunham Elementary,"$12,768 ","$93,750 "
Fontana Unified,"$15,045 ","$63,253 "
Pasadena Unified,"$14,190 ","$86,695 "
Benicia Unified,"$10,914 ","$103,163 "
San Gabriel Unified,"$13,559 ","$70,511 "
Mountain View Elementary - Ontario,"$11,227 ","$82,010 "
Golden Valley Unified,"$11,241 ","$81,907 "
Fallbrook Union Elementary,"$13,864 ","$68,750 "
Oakley Union Elementary,"$10,720 ","$104,464 "
San Antonio Union Elementary,"$17,092 ","$52,569 "
Val Verde Unified,"$13,534 ","$70,358 "
Claremont Unified,"$12,213 ","$97,052 "
Big Oak Flat-Groveland Unified,"$18,352 ","$66,486 "
Placentia-Yorba Linda Unified,"$11,385 ","$101,349 "
Bradley Union Elementary,"$16,324 ","$76,667 "
Lucia Mar Unified,"$11,770 ","$78,837 "
Anaheim Union High,"$13,449 ","$70,303 "
Bassett Unified,"$13,621 ","$69,300 "
Patterson Joint Unified,"$13,614 ","$69,330 "
Rosemead Elementary,"$14,367 ","$65,509 "
Atascadero Unified,"$11,288 ","$80,884 "
Hayward Unified,"$14,523 ","$86,336 "
Escondido Union,"$13,957 ","$67,323 "
Green Point Elementary,"$16,526 ","$54,375 "
Centinela Valley Union High,"$16,522 ","$54,242 "
South Whittier Elementary,"$14,200 ","$65,829 "
Ravenswood City Elementary,"$18,622 ","$66,201 "
Shandon Joint Unified,"$16,148 ","$55,972 "
Saddleback Valley Unified,"$11,797 ","$100,470 "
Gonzales Unified,"$14,013 ","$66,543 "
Orick Elementary,"$24,708 ","$35,938 "
Garden Grove Unified,"$13,564 ","$68,762 "
Martinez Unified,"$11,803 ","$100,658 "
Denair Unified,"$13,962 ","$89,897 "
Redlands Unified,"$11,919 ","$76,699 "
Garvey Elementary,"$16,755 ","$52,463 "
Galt Joint Union Elementary,"$12,064 ","$75,907 "
Chula Vista Elementary,"$10,900 ","$81,646 "
Bonsall Unified,"$11,208 ","$103,966 "
Burbank Unified,"$12,056 ","$75,827 "
Walnut Valley Unified,"$11,162 ","$104,237 "
Ripon Unified,"$10,147 ","$85,233 "
