National Center for Education Statistics,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalSchools,TotalFiscalStudents,TotalStudents,ClassroomTeachersFTE,StudentTeacherRatio,SummerMigrantStudents,ELLStudents
0626640,Napa Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94558,29,17580,17580,775.02,22.6832855926299,,3779
0626670,National Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91950,11,5536,5191,217.5,23.8666666666667,,2807
0600036,Natomas Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95834,19,13457,13457,618.49,21.7578295526201,,1758
0626760,Needles Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92363,6,993,993,46.55,21.3319011815252,,14
0626820,Nevada City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95959,3,801,801,36.89,21.7132014095961,,7
0691023,Nevada County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95945,8,1444,1322,71.3,18.5413744740533,,3
0626880,Nevada Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,95945,6,2596,2596,126.22,20.5672635081604,,34
0626910,New Haven Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94587,13,11281,11281,463.09,24.3602755403917,,2361
0626970,New Hope Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95686,1,201,201,11,18.2727272727273,,112
0627030,New Jerusalem Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,95304,8,1768,1768,68.5,25.8102189781022,,205
0627060,Newark Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94560,13,5758,5758,193.5,29.7571059431525,,1298
0627120,Newcastle Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95658,2,461,461,20,23.05,,17
0627180,Newhall,CALIFORNIA,01-Elementary school system only,KG,06,91355,10,6539,6539,271.05,24.1247002398082,,1521
0627200,Newman-Crows Landing Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95360,9,3225,3225,147.61,21.8481132714586,,989
0627240,Newport-Mesa Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92626,32,20641,20641,887.81,23.2493438911479,,4228
0627300,Nicasio,CALIFORNIA,01-Elementary school system only,KG,08,94946,1,39,39,3,13,,13
0627450,Norris Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93312,5,4176,4176,168.68,24.7569362105762,,174
0627480,North County Joint Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95023,1,720,720,32.5,22.1538461538462,,135
0627510,North Cow Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96073,1,253,253,11.5,22,,
0627590,North Monterey County Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95039,8,4595,4595,195.95,23.449859658076,,1845
0603030,Northern Humboldt Union High,CALIFORNIA,02-Secondary school system only,KG,12,95519,5,1640,1640,82.07,19.9829413914951,,16
0627690,Norwalk-La Mirada Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90650,28,17387,17387,759.06,22.9059626379996,,2926
0627720,Novato Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94945,15,7419,7419,339.42,21.8578751988687,,1241
0627750,Nuestro Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95953,1,170,170,9,18.8888888888889,,8
0627780,Nuview Union,CALIFORNIA,03-Elementary/secondary school system,KG,12,92567,4,2185,2185,88,24.8295454545455,,486
0627810,Oak Grove Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95119,18,9877,9877,408.77,24.1627320987352,,2487
0627840,Oak Grove Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95401,2,853,853,37.74,22.6020137784844,,46
0627850,Oak Park Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91377,8,4579,4579,186.8,24.5128479657388,,247
0627870,Oak Run Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96069,1,68,68,4.25,16,,
0627900,Oak Valley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93274,1,551,551,28,19.6785714285714,,148
0627930,Oak View Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95220,1,376,376,19.33,19.4516295913088,,59
0600062,Oakdale Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95361,9,5396,5396,220.36,24.4872027591214,,594
0628050,Oakland Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94607,91,36524,36524,1911.88,19.1037094378308,,11990
0628080,Oakley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94561,8,5267,5267,228.51,23.0493195046169,,760
0628140,Ocean View,CALIFORNIA,01-Elementary school system only,KG,08,92647,16,7986,7986,323.35,24.6976959950518,,1822
0628170,Ocean View,CALIFORNIA,01-Elementary school system only,KG,08,93033,5,2564,2564,108.5,23.63133640553,,1559
0628250,Oceanside Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92058,23,17648,17648,732.78,24.0836267365376,,2776
0628270,Ojai Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93024,8,2383,2383,100.81,23.6385279238171,,345
0628320,Old Adobe Union,CALIFORNIA,01-Elementary school system only,KG,06,94954,5,1909,1909,82.5,23.1393939393939,,437
0628470,Ontario-Montclair,CALIFORNIA,01-Elementary school system only,KG,08,91762,32,20606,20606,890.67,23.1353924573636,,5314
0628530,Orange Center,CALIFORNIA,01-Elementary school system only,KG,12,93706,1,311,311,17,18.2941176470588,,144
0691024,Orange County Department of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,92628,5,3093,3093,182,16.9945054945055,,794
0628650,Orange Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92856,40,26442,26442,1096.39,24.1173305119529,,5805
0628680,Orchard Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95131,1,843,843,38,22.1842105263158,,370
0628710,Orcutt Union Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,93455,9,5181,5181,208.75,24.8191616766467,,626
0628830,Orick Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95555,1,24,24,2.13,11.2676056338028,,
0628860,Orinda Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94563,5,2546,2546,122.96,20.7059206245934,,38
0600045,Orland Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95963,6,2263,2263,108.86,20.7881682895462,,564
0628950,Oro Grande,CALIFORNIA,03-Elementary/secondary school system,KG,12,92368,2,2401,2401,108.21,22.1883374919139,,235
0629100,Oroville City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95966,7,2311,2311,108.59,21.2818859931854,,154
0629130,Oroville Union High,CALIFORNIA,02-Secondary school system only,09,12,95966,4,2196,2196,103.95,21.1255411255411,,57
0629160,Outside Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93292,1,103,103,4.9,21.0204081632653,,27
0629190,Owens Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93526,2,78,78,6.95,11.2230215827338,,8
0629220,Oxnard,CALIFORNIA,01-Elementary school system only,KG,08,93030,21,16134,16134,714.2,22.5903108373005,,8036
0629270,Oxnard Union High,CALIFORNIA,02-Secondary school system only,KG,12,93030,10,16701,16701,697.65,23.9389378628252,,2039
0629280,Pacheco Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96002,2,664,664,29.2,22.7397260273973,,20
0629340,Pacific Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95017,1,117,117,5.3,22.0754716981132,,18
0629370,Pacific Grove Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93950,5,2035,2035,110.45,18.4246265278407,,84
0629400,Pacific Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93725,1,406,406,20,20.3,,237
0629430,Pacific Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95521,2,610,610,27.5,22.1818181818182,,59
0620460,Pacifica,CALIFORNIA,01-Elementary school system only,KG,08,94044,8,3111,3111,126.3,24.6318289786223,,335
0629490,Pajaro Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95076,32,19589,19589,759.89,25.7787311321375,,8272
0629540,Palermo Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95968,6,1296,1296,61.35,21.1246943765281,,143
0629550,Palm Springs Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92264,28,22691,22691,995.91,22.784187326164,,6864
0629580,Palmdale Elementary,CALIFORNIA,01-Elementary school system only,KG,12,93550,28,19085,19085,784.8,24.3182976554536,,4835
0629610,Palo Alto Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94306,19,11992,11992,691.22,17.3490350394954,,1221
0629640,Palo Verde Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92225,6,2953,2953,124.47,23.72459227123,,298
0629670,Palo Verde Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93274,1,594,594,23,25.8260869565217,,251
0629700,Palos Verdes Peninsula Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90274,17,11217,11217,455.94,24.6019213054349,,764
0606390,Panama-Buena Vista Union,CALIFORNIA,01-Elementary school system only,KG,08,93313,24,18621,18621,664.99,28.0019248409751,,3147
0629770,Panoche Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95043,1,3,3,1,3,,
0629790,Paradise Elementary,CALIFORNIA,06-Nonoperating school system,KG,08,95358,2,,198,9,22,,68
0629820,Paradise Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95969,11,3403,3403,157.61,21.5912695894931,,38
0629850,Paramount Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90723,19,14875,14875,639.87,23.246909528498,,4624
0629910,Parlier Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93648,7,3471,3471,144.39,24.039060876792,,1776
0629940,Pasadena Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91101,28,16340,16340,671.06,24.3495365541084,,2574
0600048,Paso Robles Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93447,13,6844,6844,289.81,23.615472205928,,1254
0630030,Patterson Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95363,10,6077,6077,270.44,22.4707883449194,,2139
0630090,Peninsula Union,CALIFORNIA,01-Elementary school system only,KG,08,95564,1,35,35,3,11.6666666666667,,
0630180,Perris Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92570,9,5796,5796,245,23.6571428571429,,2661
0630210,Perris Union High,CALIFORNIA,03-Elementary/secondary school system,05,12,92570,8,10893,10893,419.11,25.9907900073966,,2066
0601328,Petaluma City Elementary/Joint Union High,CALIFORNIA,†,N,N,94952,0,7528,,,0,,
0630330,Piedmont City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94611,7,2596,2596,147.83,17.5607116282216,,25
0630360,Pierce Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95912,5,1479,1479,68.5,21.5912408759124,,494
0630390,Pine Ridge Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93602,1,103,103,5,20.6,,
0630450,Piner-Olivet Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95403,1,1060,279,11,25.3636363636364,,66
0630480,Pioneer Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95684,3,287,287,14.05,20.4270462633452,,13
0630510,Pioneer Union Elementary,CALIFORNIA,06-Nonoperating school system,KG,08,93230,3,,1605,64.84,24.7532387415176,,117
0630520,Pioneer Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95916,1,71,71,3.01,23.5880398671096,,3
0630600,Pittsburg Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94565,13,11345,11345,525.51,21.5885520732241,,2888
0630630,Pixley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93256,2,1019,1019,48,21.2291666666667,,528
0630660,Placentia-Yorba Linda Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92870,34,25477,25477,962.75,26.4627369514412,,3734
