National Center for Education Statistics,,,,,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,,,,,
LEAID,NAME,FIPST,MSTATE,FIPST_NAME,GSLO,GSHI,a_type,distlocale,SchoolLevel,LocaleCode,LocaleText,data_type,MSC,MSCText,TypeCode,TypeText,PercentPoverty
0624630,Merced River Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,26.6272189349112
0624930,Millville Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,15.7894736842105
0625230,Mojave Unified,06,CA,CALIFORNIA,KG,12,1,32,03-Elementary/secondary school system,32,Town: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,26.2629246676514
0625690,Moorpark Unified,06,CA,CALIFORNIA,KG,12,1,22,03-Elementary/secondary school system,22,Suburb: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,9.27160649138256
0626490,Muroc Joint Unified,06,CA,CALIFORNIA,KG,12,1,42,03-Elementary/secondary school system,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,9.09090909090909
0626640,Napa Valley Unified,06,CA,CALIFORNIA,KG,12,1,13,03-Elementary/secondary school system,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,11.1879027229266
0626760,Needles Unified,06,CA,CALIFORNIA,KG,12,1,32,03-Elementary/secondary school system,32,Town: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,34.1922005571031
0627750,Nuestro Elementary,06,CA,CALIFORNIA,KG,12,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,14.0350877192982
0627810,Oak Grove Elementary,06,CA,CALIFORNIA,KG,08,1,11,01-Elementary school system only,11,City: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,9.79202772963605
0627930,Oak View Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,15.2019002375297
0628860,Orinda Union Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,3.003663003663
0601710,Adelanto Elementary,06,CA,CALIFORNIA,KG,12,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,24.1556836902801
0629130,Oroville Union High,06,CA,CALIFORNIA,09,12,1,32,02-Secondary school system only,32,Town: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,26.1989694807769
0629370,Pacific Grove Unified,06,CA,CALIFORNIA,KG,12,1,22,03-Elementary/secondary school system,22,Suburb: Midsize,MetroMicro,1,Metropolitan Area,1,Regular School District,7.2957623416339
0629820,Paradise Unified,06,CA,CALIFORNIA,KG,12,1,31,03-Elementary/secondary school system,31,Town: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,15.5262243834665
0630780,Placerville Union Elementary,06,CA,CALIFORNIA,KG,08,1,31,01-Elementary school system only,31,Town: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,18.8187608569774
0630840,Planada Elementary,06,CA,CALIFORNIA,KG,08,1,31,01-Elementary school system only,31,Town: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,39.7485493230174
0631050,Pleasant View Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,30.1104972375691
0600020,Pleasanton Unified,06,CA,CALIFORNIA,KG,12,1,13,03-Elementary/secondary school system,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,4.70349246034846
0631290,Pollock Pines Elementary,06,CA,CALIFORNIA,KG,08,1,31,01-Elementary school system only,31,Town: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,7.81122864117168
0631400,Potter Valley Community Unified,06,CA,CALIFORNIA,KG,12,1,42,03-Elementary/secondary school system,42,Rural: Distant,MetroMicro,2,Micropolitan Area,1,Regular School District,19.3121693121693
0624780,Midway Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,21.8181818181818
0625350,Monson-Sultana Joint Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,26.8882175226586
0625650,Montgomery Elementary,06,CA,CALIFORNIA,KG,08,1,42,01-Elementary school system only,42,Rural: Distant,MetroMicro,1,Metropolitan Area,1,Regular School District,8.79120879120879
0625800,Moreno Valley Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,16.3736642537056
0626370,Mt. Diablo Unified,06,CA,CALIFORNIA,KG,12,1,21,03-Elementary/secondary school system,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,10.8041200654259
0626130,Mountain House Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,25.3968253968254
0626190,Mountain View Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,29.0280495759948
0626280,Mountain View Whisman,06,CA,CALIFORNIA,KG,08,1,13,01-Elementary school system only,13,City: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,8.8174982911825
0626460,Mupu Elementary,06,CA,CALIFORNIA,KG,08,1,31,01-Elementary school system only,31,Town: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,10.5769230769231
0628320,Old Adobe Union,06,CA,CALIFORNIA,KG,06,1,23,01-Elementary school system only,23,Suburb: Small,MetroMicro,1,Metropolitan Area,1,Regular School District,6.70498084291188
0628530,Orange Center,06,CA,CALIFORNIA,KG,12,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,47.0437017994859
0628680,Orchard Elementary,06,CA,CALIFORNIA,KG,08,1,11,01-Elementary school system only,11,City: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,8.7037037037037
0620730,Lakeside Union,06,CA,CALIFORNIA,KG,08,1,11,01-Elementary school system only,11,City: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,13.6064374542794
0620760,Lakeside Union Elementary,06,CA,CALIFORNIA,KG,08,1,41,01-Elementary school system only,41,Rural: Fringe,MetroMicro,1,Metropolitan Area,1,Regular School District,30.2803738317757
0620790,Lakeside Union Elementary,06,CA,CALIFORNIA,KG,12,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,10.1106382978723
0620850,Lamont Elementary,06,CA,CALIFORNIA,KG,08,1,21,01-Elementary school system only,21,Suburb: Large,MetroMicro,1,Metropolitan Area,1,Regular School District,34.1991341991342
0621060,Lassen Union High,06,CA,CALIFORNIA,09,12,1,33,02-Secondary school system only,33,Town: Remote,MetroMicro,2,Micropolitan Area,1,Regular School District,14.9357072205737
