National Center for Education Statistics,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalCurrentExpendituresPerStudent,InstructionalExpendituresPerStudent,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent,v33
0605040,Biggs Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95917,12217.9487179487,7168.26923076923,592.948717948718,2105.76923076923,2350.96153846154,624
0605190,Bitterwater-Tully Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93930,10371.4285714286,7600,57.1428571428571,1000,1714.28571428571,35
0605220,Black Butte Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96088,14147.619047619,7719.04761904762,352.380952380952,2495.2380952381,3580.95238095238,210
0605240,Black Oak Mine Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95634,11581.2650120096,6332.26581265012,995.99679743795,1660.52842273819,2592.47397918335,1249
0605250,Blake Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93287,16692.3076923077,9461.53846153846,0,3076.92307692308,4153.84615384615,13
0605280,Blochman Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,93454,11481.1320754717,6056.60377358491,702.830188679245,2433.96226415094,2287.7358490566,212
0605400,Blue Lake Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95525,14898.7341772152,9886.07594936709,329.113924050633,2322.78481012658,2360.75949367089,158
0605490,Bogus Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96064,15277.7777777778,7666.66666666667,1333.33333333333,3222.22222222222,3055.55555555556,18
0605520,Bolinas-Stinson Union,CALIFORNIA,01-Elementary school system only,KG,08,94924,52511.1111111111,29533.3333333333,3966.66666666667,10622.2222222222,8388.88888888889,90
0605610,Bonita Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91773,11357.9313774242,6833.71456986574,1645.84783689707,1432.12332173048,1446.24564893088,10055
0605640,Bonny Doon Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95060,13484.8484848485,8260.60606060606,769.69696969697,2957.57575757576,1496.9696969697,165
0605700,Borrego Springs Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92004,18028.4974093264,9411.9170984456,1113.9896373057,3183.9378238342,4318.65284974093,386
0605730,Bradley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,93426,16324.3243243243,8729.72972972973,716.216216216216,3554.05405405405,3324.32432432432,74
0605790,Brawley Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92227,13926.1265698104,9045.06279241566,1001.23122383649,1733.07067224821,2146.76188131002,4061
0605820,Brawley Union High,CALIFORNIA,02-Secondary school system only,09,12,92227,14080.802882141,8414.82243952651,1939.26917138446,1365.9289758106,2360.78229541945,1943
0605880,Brea-Olinda Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92822,10351.5312916112,6230.52596537949,1228.69507323569,1286.11850865513,1606.19174434088,6008
0605910,Brentwood Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94513,11198.3444069274,8059.14388410848,890.970482518244,1085.82943034528,1162.40060995534,9181
0605940,Bret Harte Union High,CALIFORNIA,02-Secondary school system only,09,12,95221,17976.9938650307,9815.9509202454,1708.58895705521,2059.81595092025,4392.63803680982,652
0606000,Bridgeville Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95526,22655.1724137931,12206.8965517241,586.206896551724,3689.65517241379,6172.41379310345,29
0606030,Briggs Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93036,11836.5019011407,7201.52091254753,876.425855513308,2222.43346007605,1536.1216730038,526
0606060,Brisbane Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94005,17980.8102345416,11522.3880597015,1095.94882729211,3243.07036247335,2119.40298507463,469
0606090,Brittan Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95982,9219.8275862069,5278.01724137931,394.396551724138,1812.5,1734.91379310345,464
0606100,Browns Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95674,12719.696969697,6280.30303030303,553.030303030303,3901.51515151515,1984.84848484848,132
0606270,Buckeye Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95762,10926.476838079,7329.79175520612,727.369315767106,1414.15214619635,1455.16362090948,4706
0606330,Buellton Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93427,18315.3594771242,11151.9607843137,3562.09150326797,1821.8954248366,1779.41176470588,612
0606360,Buena Park Elementary,CALIFORNIA,01-Elementary school system only,KG,08,90620,13609.4024604569,8584.57820738137,951.449912126538,1882.46924428822,2190.90509666081,4552
0606420,Buena Vista Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93274,10776.7441860465,6893.02325581395,209.302325581395,1883.72093023256,1790.6976744186,215
0606450,Burbank Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91506,12056.0415707426,7731.56613826218,1303.22962573176,1620.00920870881,1401.23659803986,15203
0606480,Burlingame Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94010,11884.9002849003,8026.21082621083,872.364672364672,1708.83190883191,1277.49287749288,3510
0606510,Burnt Ranch Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95527,17333.3333333333,9702.38095238095,976.190476190476,2916.66666666667,3738.09523809524,84
